,0,1,2,3,4,5
0,1623850800000,2459.7,2460.0,2456.4,2457.3,2599699.1315
1,1623851100000,2457.3,2457.6,2446.3,2449.5,4920286.4487
2,1623851400000,2449.5,2454.6,2446.6,2452.0,5390612.4285
3,1623851700000,2452.0,2458.0,2451.0,2457.5,3455597.8316
4,1623852000000,2457.5,2458.3,2444.2,2454.4,6750239.1533
5,1623852300000,2454.4,2454.4,2449.1,2450.9,2077324.6362
6,1623852600000,2450.9,2454.9,2450.1,2454.9,1663328.3925
7,1623852900000,2454.9,2457.1,2448.4,2448.5,2957899.7474
8,1623853200000,2448.5,2448.7,2442.8,2445.5,5465350.8233
9,1623853500000,2445.5,2447.1,2443.0,2444.3,3291119.3747
10,1623853800000,2444.3,2452.2,2444.3,2450.7,2581003.6801
11,1623854100000,2450.7,2453.1,2448.8,2450.4,3063085.7117
12,1623854400000,2450.4,2451.9,2448.0,2449.4,2495521.2557
13,1623854700000,2449.4,2450.5,2442.3,2442.3,3117598.7513
14,1623855000000,2442.5,2446.1,2417.3,2422.8,16677987.6888
15,1623855300000,2422.8,2425.6,2415.3,2423.6,12011454.2966
16,1623855600000,2423.6,2429.4,2419.2,2427.5,8270258.7374
17,1623855900000,2427.5,2428.3,2420.9,2422.6,3009415.4028
18,1623856200000,2422.6,2422.6,2405.2,2409.5,13731009.2907
19,1623856500000,2409.5,2415.9,2407.7,2414.4,7418096.6938
20,1623856800000,2414.4,2417.6,2413.8,2415.2,2898474.4752
21,1623857100000,2415.2,2416.0,2410.4,2413.1,2603534.7734
22,1623857400000,2413.0,2420.3,2411.8,2418.7,8221661.5885
23,1623857700000,2418.7,2423.7,2416.9,2417.3,4056726.8454
24,1623858000000,2417.3,2419.2,2413.8,2415.1,4975548.771
25,1623858300000,2415.1,2420.7,2410.9,2410.9,3658674.9096
26,1623858600000,2410.9,2417.4,2410.9,2417.2,3397712.6593
27,1623858900000,2417.2,2419.1,2412.9,2416.3,2594870.0594
28,1623859200000,2416.3,2432.3,2407.8,2431.0,20873108.3461
29,1623859500000,2431.0,2444.4,2424.8,2443.9,17174400.0877
30,1623859800000,2443.9,2444.0,2435.2,2440.2,7733976.3184
31,1623860100000,2440.2,2444.1,2437.1,2437.5,5532703.666
32,1623860400000,2437.5,2438.6,2429.2,2430.6,6039611.5344
33,1623860700000,2430.6,2430.6,2421.6,2424.6,5166611.7655
34,1623861000000,2424.6,2431.4,2423.0,2424.5,3885547.1512
35,1623861300000,2424.5,2427.6,2417.3,2419.8,4000841.8254
36,1623861600000,2419.8,2419.9,2415.1,2419.4,6423621.938
37,1623861900000,2419.4,2420.5,2406.0,2406.0,8819826.7961
38,1623862200000,2406.0,2409.2,2385.6,2393.4,24910699.411
39,1623862500000,2393.4,2397.4,2389.0,2394.2,8739987.2372
40,1623862800000,2394.2,2394.2,2378.9,2381.1,17090540.2254
41,1623863100000,2381.1,2394.1,2380.3,2388.4,8667277.7708
42,1623863400000,2388.4,2407.3,2388.1,2406.7,16958001.1619
43,1623863700000,2406.7,2407.8,2393.1,2393.1,6842063.5923
44,1623864000000,2393.1,2402.1,2393.1,2399.0,4774485.2773
45,1623864300000,2399.0,2404.4,2397.9,2403.0,2526602.3142
46,1623864600000,2403.0,2410.5,2402.8,2408.8,7852228.0194
47,1623864900000,2408.8,2424.0,2408.5,2417.4,12184665.0705
48,1623865200000,2417.4,2417.4,2411.1,2416.3,8407677.4607
49,1623865500000,2416.3,2416.3,2410.0,2412.9,3261822.6693
50,1623865800000,2412.9,2422.1,2411.2,2413.7,2147413.7215
51,1623866100000,2413.7,2429.9,2411.3,2425.2,4449351.4636
52,1623866400000,2425.2,2458.0,2393.3,2440.3,57066352.5388
53,1623866700000,2440.3,2454.3,2425.2,2435.8,24304481.4227
54,1623867000000,2435.8,2435.8,2366.6,2412.8,70596796.5364
55,1623867300000,2412.8,2412.8,2392.7,2400.7,15031366.7559
56,1623867600000,2400.7,2404.3,2385.0,2399.0,12708966.6679
57,1623867900000,2399.0,2401.4,2395.0,2398.4,4197608.7954
58,1623868200000,2398.4,2406.4,2393.5,2403.0,12795900.7924
59,1623868500000,2403.0,2405.1,2391.3,2404.9,5904256.9713
60,1623868800000,2404.7,2405.7,2396.8,2397.8,5029582.9898
61,1623869100000,2397.8,2411.5,2396.0,2410.6,10806238.9979
62,1623869400000,2410.6,2416.4,2405.1,2416.3,4381033.0859
63,1623869700000,2416.3,2417.8,2409.2,2416.8,8687596.4317
64,1623870000000,2416.8,2426.4,2412.9,2420.4,12904376.2713
65,1623870300000,2420.4,2423.3,2419.1,2423.3,3199958.5104
66,1623870600000,2423.3,2428.6,2419.9,2425.4,4638296.7787
67,1623870900000,2425.4,2428.2,2423.3,2426.5,3959203.1293
68,1623871200000,2426.5,2427.4,2426.1,2427.1,554804.6624
69,1623871500000,2427.1,2427.1,2427.1,2427.1,0.0
70,1623871800000,2427.1,2427.1,2427.1,2427.1,0.0
71,1623872100000,2427.1,2427.1,2427.1,2427.1,0.0
72,1623872400000,2427.1,2427.1,2427.1,2427.1,0.0
73,1623872700000,2427.1,2427.1,2427.1,2427.1,0.0
74,1623873000000,2427.1,2427.1,2427.1,2427.1,0.0
75,1623873300000,2427.1,2427.1,2427.1,2427.1,0.0
76,1623873600000,2427.1,2427.1,2427.1,2427.1,0.0
77,1623873900000,2427.1,2427.1,2427.1,2427.1,0.0
78,1623874200000,2427.1,2427.2,2398.6,2413.2,22341416.0817
79,1623874500000,2413.2,2420.7,2406.1,2406.4,10029619.4307
80,1623874800000,2406.4,2408.5,2401.7,2404.4,5256040.3157
81,1623875100000,2404.4,2409.3,2400.2,2405.2,3808495.9319
82,1623875400000,2405.2,2408.7,2401.5,2403.4,2407557.6666
83,1623875700000,2403.4,2404.6,2394.2,2397.2,6482033.0065
84,1623876000000,2397.2,2405.6,2397.2,2402.2,1842580.773
85,1623876300000,2402.2,2408.2,2400.1,2403.9,3328468.9766
86,1623876600000,2403.9,2408.8,2402.9,2405.0,2438759.6601
87,1623876900000,2405.0,2406.4,2396.5,2398.2,3406996.9872
88,1623877200000,2398.2,2401.1,2394.1,2399.3,5246955.5841
89,1623877500000,2399.3,2400.1,2392.3,2397.1,2971342.9867
90,1623877800000,2397.1,2401.5,2393.6,2393.9,4198642.6732
91,1623878100000,2394.0,2403.5,2393.0,2401.9,3504394.9373
92,1623878400000,2401.9,2407.6,2401.9,2403.4,2029002.9539
93,1623878700000,2403.4,2409.4,2402.4,2407.6,3278782.1515
94,1623879000000,2407.6,2409.2,2407.2,2409.2,970004.3413
95,1623879300000,2409.2,2412.1,2409.2,2410.1,2560875.3569
96,1623879600000,2410.1,2411.6,2404.6,2406.0,3867436.8472
97,1623879900000,2406.0,2409.2,2406.0,2408.7,782374.8333
98,1623880200000,2408.7,2418.5,2406.7,2417.0,5973846.6442
99,1623880500000,2417.0,2417.0,2409.8,2412.1,2071135.1911
100,1623880800000,2412.1,2415.2,2408.9,2412.4,2552750.8304
101,1623881100000,2412.4,2417.3,2409.0,2415.0,4147454.0133
102,1623881400000,2415.0,2416.1,2406.9,2408.1,2298632.6146
103,1623881700000,2408.1,2408.2,2399.9,2402.3,4581414.0132
104,1623882000000,2402.3,2407.1,2402.1,2404.8,1640519.033
105,1623882300000,2404.8,2408.3,2394.9,2397.4,4640339.7311
106,1623882600000,2397.3,2400.0,2391.3,2397.2,3400398.0703
107,1623882900000,2397.2,2397.4,2387.5,2389.7,2005523.7544
108,1623883200000,2389.7,2391.9,2383.5,2385.6,3971113.9296
109,1623883500000,2385.6,2393.8,2383.7,2389.9,2438554.1663
110,1623883800000,2389.9,2390.0,2382.8,2386.5,2139302.0255
111,1623884100000,2386.5,2390.7,2383.1,2386.1,2574023.3124
112,1623884400000,2386.1,2386.6,2359.7,2367.2,22838827.2475
113,1623884700000,2367.2,2372.7,2365.2,2365.2,4319853.0074
114,1623885000000,2365.2,2367.0,2353.8,2360.0,19573802.0615
115,1623885300000,2360.0,2362.1,2349.7,2361.2,14113938.9527
116,1623885600000,2361.2,2364.9,2348.8,2355.1,5915684.6832
117,1623885900000,2355.1,2357.3,2350.2,2354.1,1777410.4035
118,1623886200000,2354.1,2357.4,2348.0,2351.2,4000288.4583
119,1623886500000,2351.2,2361.1,2350.1,2359.4,3910763.7963
120,1623886800000,2359.4,2360.5,2355.1,2355.2,2659955.3724
121,1623887100000,2355.2,2361.5,2354.8,2361.0,1975423.0418
122,1623887400000,2361.0,2362.7,2357.7,2359.1,3709060.4902
123,1623887700000,2359.1,2367.5,2357.4,2365.8,7789753.7347
124,1623888000000,2365.8,2371.1,2355.0,2362.6,59704338.3384
125,1623888300000,2362.6,2381.9,2362.2,2380.7,17368798.2126
126,1623888600000,2380.7,2385.2,2378.7,2383.4,7349718.1586
127,1623888900000,2383.3,2387.5,2377.0,2379.4,7245655.1015
128,1623889200000,2379.4,2388.3,2374.5,2385.4,5504039.5204
129,1623889500000,2385.4,2391.2,2382.2,2390.1,6494746.2204
130,1623889800000,2390.1,2400.0,2389.8,2394.7,9881202.5363
131,1623890100000,2394.6,2394.6,2390.0,2391.1,2748754.215
132,1623890400000,2391.1,2399.8,2390.1,2397.5,3569086.0519
133,1623890700000,2397.5,2397.5,2390.3,2393.5,2030108.4701
134,1623891000000,2393.5,2394.6,2389.7,2392.4,3544477.6989
135,1623891300000,2392.4,2396.2,2391.6,2394.9,1143020.4002
136,1623891600000,2394.9,2400.0,2389.1,2389.5,2697100.9181
137,1623891900000,2389.5,2399.5,2389.2,2397.9,1809052.4464
138,1623892200000,2397.9,2406.9,2397.9,2405.1,4779717.5658
139,1623892500000,2405.1,2410.0,2398.7,2400.8,8568491.1562
140,1623892800000,2400.8,2404.5,2399.0,2401.4,2229181.5783
141,1623893100000,2401.4,2405.0,2400.5,2400.5,1960418.8189
142,1623893400000,2400.5,2406.1,2400.5,2405.4,1607358.0196
143,1623893700000,2405.4,2407.1,2402.7,2403.6,2087335.9522
144,1623894000000,2403.6,2403.8,2400.1,2403.0,1556817.2035
145,1623894300000,2403.0,2409.2,2402.5,2408.9,4165778.9703
146,1623894600000,2408.9,2411.8,2404.5,2404.9,3494226.052
147,1623894900000,2404.9,2413.3,2403.8,2412.4,2565136.6645
148,1623895200000,2412.4,2416.1,2405.3,2405.6,2794222.8068
149,1623895500000,2405.6,2415.2,2405.5,2415.2,2157058.3155
150,1623895800000,2415.2,2420.0,2414.3,2418.9,3869731.9096
151,1623896100000,2418.9,2420.0,2414.5,2414.7,2377750.5152
152,1623896400000,2414.7,2427.0,2414.7,2424.4,3642986.7975
153,1623896700000,2424.4,2426.5,2420.3,2424.4,2816013.9598
154,1623897000000,2424.4,2428.8,2421.5,2422.9,2756033.4264
155,1623897300000,2422.9,2422.9,2418.8,2420.8,2392619.4327
156,1623897600000,2420.8,2424.3,2420.5,2421.8,1641085.0655
157,1623897900000,2421.7,2422.0,2415.2,2419.1,2220551.9444
158,1623898200000,2419.1,2420.0,2416.6,2417.8,2179825.6112
159,1623898500000,2417.8,2421.2,2415.1,2416.5,1840177.0066
160,1623898800000,2416.5,2432.6,2416.4,2430.6,11043388.9751
161,1623899100000,2430.6,2434.2,2425.2,2427.6,5403795.4708
162,1623899400000,2427.5,2433.8,2427.0,2429.5,2250519.9022
163,1623899700000,2429.5,2434.7,2427.0,2428.9,3053771.3314
164,1623900000000,2428.9,2437.1,2426.9,2432.8,3814765.0483
165,1623900300000,2432.8,2432.8,2429.8,2431.6,1069210.9496
166,1623900600000,2431.6,2438.7,2430.4,2431.4,2641040.8405
167,1623900900000,2431.4,2436.8,2431.4,2433.5,2062110.45
168,1623901200000,2433.5,2433.9,2431.8,2433.4,942627.4018
169,1623901500000,2433.4,2435.3,2429.4,2429.9,2574529.8806
170,1623901800000,2429.9,2431.2,2426.7,2426.9,2454647.6083
171,1623902100000,2426.9,2433.6,2426.9,2432.2,3049951.1179
172,1623902400000,2432.2,2437.8,2429.4,2435.5,3071838.9902
173,1623902700000,2435.5,2441.5,2435.5,2438.5,7922664.1409
174,1623903000000,2438.5,2441.1,2434.2,2435.7,2760930.7385
175,1623903300000,2435.7,2438.3,2434.0,2435.0,1346112.7132
176,1623903600000,2435.0,2438.2,2434.6,2435.5,1514730.3211
177,1623903900000,2435.5,2437.8,2433.5,2433.5,1565241.084
178,1623904200000,2433.4,2437.2,2432.9,2437.2,1826292.3921
179,1623904500000,2437.2,2440.5,2430.2,2431.0,3698583.6656
180,1623904800000,2431.0,2431.0,2420.0,2422.4,7550206.9964
181,1623905100000,2422.4,2425.0,2420.5,2423.1,3668293.617
182,1623905400000,2423.1,2427.3,2421.4,2423.6,1374562.1126
183,1623905700000,2423.6,2426.1,2423.0,2424.7,1834390.39
184,1623906000000,2424.7,2430.5,2418.0,2420.4,4153318.1439
185,1623906300000,2420.4,2421.3,2410.8,2415.0,8036999.6505
186,1623906600000,2415.0,2421.4,2414.6,2418.7,2270790.5178
187,1623906900000,2418.7,2423.4,2414.1,2414.2,2239619.7354
188,1623907200000,2414.2,2418.1,2414.2,2416.0,1185520.694
189,1623907500000,2416.0,2421.0,2416.0,2419.1,1540819.4038
190,1623907800000,2419.1,2424.8,2419.1,2422.3,1534287.0067
191,1623908100000,2422.3,2425.1,2419.9,2420.2,1384120.401
192,1623908400000,2420.2,2420.2,2415.5,2419.0,2455223.4054
193,1623908700000,2419.0,2423.2,2417.4,2422.0,1209990.766
194,1623909000000,2422.0,2423.6,2418.9,2420.0,2184886.3314
195,1623909300000,2420.0,2420.7,2413.4,2413.7,2997726.6479
196,1623909600000,2413.7,2419.5,2413.7,2419.1,1891877.8329
197,1623909900000,2419.1,2422.3,2419.1,2420.2,2061425.528
198,1623910200000,2420.2,2421.3,2419.1,2421.1,3708599.1102
199,1623910500000,2421.1,2421.3,2416.4,2418.2,754166.7008
200,1623910800000,2418.2,2428.1,2418.2,2426.0,2828359.5758
201,1623911100000,2426.0,2439.8,2426.0,2436.0,9123501.8397
202,1623911400000,2436.0,2438.5,2430.3,2431.4,3018776.4301
203,1623911700000,2431.4,2437.4,2431.4,2433.5,1890272.882
204,1623912000000,2433.5,2442.3,2433.5,2440.7,3093642.6281
205,1623912300000,2440.7,2441.0,2437.1,2439.2,3681517.3889
206,1623912600000,2439.2,2448.9,2439.2,2446.9,7953335.9495
207,1623912900000,2446.9,2447.3,2444.2,2445.1,2223151.1295
208,1623913200000,2445.1,2448.3,2442.1,2444.5,3895686.2152
209,1623913500000,2444.5,2460.0,2442.9,2455.7,17734787.3413
210,1623913800000,2455.7,2455.9,2451.5,2451.8,3539197.6175
211,1623914100000,2451.8,2452.0,2445.1,2448.4,5153460.3811
212,1623914400000,2448.4,2451.6,2447.3,2449.7,4661839.28
213,1623914700000,2449.7,2456.9,2449.7,2453.0,4586513.0351
214,1623915000000,2453.0,2455.7,2452.2,2453.3,2740191.5532
215,1623915300000,2453.3,2455.7,2449.8,2451.7,3528085.2555
216,1623915600000,2451.7,2455.0,2450.7,2455.0,1722636.5475
217,1623915900000,2455.0,2455.1,2445.5,2445.9,4378850.553
218,1623916200000,2445.9,2447.3,2439.9,2442.9,9929076.3834
219,1623916500000,2442.9,2445.0,2439.1,2439.8,2721430.7738
220,1623916800000,2439.8,2448.4,2439.8,2442.0,5336518.9142
221,1623917100000,2442.0,2443.5,2435.0,2436.5,6063949.0711
222,1623917400000,2436.5,2441.9,2436.5,2439.9,2747160.2705
223,1623917700000,2439.9,2444.7,2439.7,2440.0,2735334.2548
224,1623918000000,2440.0,2447.3,2437.7,2444.7,2473163.2293
225,1623918300000,2444.7,2445.4,2440.9,2442.5,3205695.8277
226,1623918600000,2442.5,2454.4,2442.5,2448.3,5071653.4121
227,1623918900000,2448.3,2450.6,2445.8,2447.0,1551312.0836
228,1623919200000,2447.0,2447.1,2440.0,2441.6,3562970.8384
229,1623919500000,2441.6,2442.9,2425.5,2430.5,14737182.7828
230,1623919800000,2430.5,2431.8,2428.4,2429.7,4920491.4039
231,1623920100000,2429.7,2439.9,2429.7,2438.3,4593581.458
232,1623920400000,2438.3,2445.7,2438.3,2438.9,4505122.0276
233,1623920700000,2438.9,2441.7,2438.1,2438.9,1519383.3436
234,1623921000000,2438.9,2440.1,2434.5,2437.1,3461983.72
235,1623921300000,2437.1,2437.4,2429.5,2432.2,2700516.995
236,1623921600000,2432.2,2432.7,2428.0,2431.9,1766498.2018
237,1623921900000,2431.9,2438.1,2429.9,2435.1,3373583.5225
238,1623922200000,2435.1,2441.0,2435.1,2439.3,3168488.423
239,1623922500000,2439.3,2441.3,2436.9,2441.0,1324042.705
240,1623922800000,2441.0,2441.0,2436.5,2437.1,1394644.4803
241,1623923100000,2437.1,2438.7,2430.5,2432.0,1339194.0062
242,1623923400000,2432.0,2444.9,2431.5,2442.6,2722599.1306
243,1623923700000,2442.6,2447.6,2440.9,2445.2,3038347.1188
244,1623924000000,2445.2,2450.9,2442.8,2444.9,5418045.7873
245,1623924300000,2444.9,2444.9,2438.7,2439.8,1365313.1875
246,1623924600000,2439.8,2442.8,2439.2,2442.6,1380982.0307
247,1623924900000,2442.6,2448.6,2442.1,2443.1,2125902.496
248,1623925200000,2443.1,2444.7,2440.3,2443.9,2090405.445
249,1623925500000,2443.9,2446.2,2442.4,2442.8,968184.3984
250,1623925800000,2442.8,2443.5,2437.3,2438.6,4419527.8525
251,1623926100000,2438.6,2440.6,2432.4,2435.8,3700289.2194
252,1623926400000,2435.8,2438.1,2433.7,2433.8,906303.2289
253,1623926700000,2433.8,2436.4,2432.4,2434.7,1150828.143
254,1623927000000,2434.7,2434.8,2428.1,2432.6,3618434.6795
255,1623927300000,2432.6,2433.9,2428.7,2430.1,2290571.3212
256,1623927600000,2430.1,2434.2,2430.1,2434.2,1586283.2494
257,1623927900000,2434.2,2436.7,2433.6,2435.0,2431761.8559
258,1623928200000,2435.0,2440.9,2435.0,2439.8,1586990.5978
259,1623928500000,2439.8,2440.2,2434.2,2434.2,1305983.2432
260,1623928800000,2434.2,2435.1,2430.4,2430.6,2667113.3934
261,1623929100000,2430.6,2432.0,2425.9,2431.6,3434440.8914
262,1623929400000,2431.6,2432.4,2426.1,2426.7,3594006.1783
263,1623929700000,2426.7,2429.1,2426.0,2428.6,2316448.4967
264,1623930000000,2428.6,2429.6,2426.1,2426.7,2210174.449
265,1623930300000,2426.7,2431.1,2421.8,2421.9,6129321.9409
266,1623930600000,2421.9,2426.2,2421.9,2423.4,1913570.5414
267,1623930900000,2423.4,2427.5,2422.9,2423.7,2091927.8621
268,1623931200000,2423.7,2425.1,2413.9,2415.8,9709897.8212
269,1623931500000,2415.6,2421.6,2415.2,2420.1,3335145.8748
270,1623931800000,2420.1,2421.8,2395.5,2398.9,13201140.0103
271,1623932100000,2398.9,2402.4,2389.0,2395.2,10929688.8864
272,1623932400000,2395.2,2400.9,2393.7,2394.0,10721962.8813
273,1623932700000,2394.0,2396.8,2382.7,2390.7,9449134.5293
274,1623933000000,2390.7,2391.7,2384.5,2386.0,5654204.7614
275,1623933300000,2386.0,2390.0,2383.4,2386.1,4687099.9756
276,1623933600000,2386.2,2389.9,2380.2,2385.5,5205660.1888
277,1623933900000,2385.5,2388.9,2376.4,2388.5,8701674.2439
278,1623934200000,2388.5,2392.9,2386.5,2388.8,5923037.8487
279,1623934500000,2388.8,2388.9,2383.1,2387.7,3113380.5389
280,1623934800000,2387.7,2391.9,2380.8,2385.7,12273369.7053
281,1623935100000,2385.7,2385.9,2381.1,2381.4,2251496.3123
282,1623935400000,2381.4,2381.4,2373.8,2380.6,4719793.5968
283,1623935700000,2380.6,2380.8,2371.0,2375.9,4891353.6221
284,1623936000000,2375.9,2379.5,2367.8,2377.1,10042440.0177
285,1623936300000,2377.1,2378.9,2373.5,2378.6,2206298.8282
286,1623936600000,2378.6,2387.7,2378.1,2387.0,4474482.0466
287,1623936900000,2387.0,2388.4,2384.2,2387.2,3113524.3701
288,1623937200000,2387.2,2387.6,2380.7,2380.8,2336941.0064
289,1623937500000,2380.8,2385.0,2380.0,2385.0,2197995.1341
290,1623937800000,2385.0,2385.7,2379.2,2380.5,2132213.8008
291,1623938100000,2380.5,2380.5,2373.3,2376.5,3535787.8653
292,1623938400000,2376.5,2376.8,2363.0,2369.5,9639909.7721
293,1623938700000,2369.5,2372.8,2365.6,2371.1,4152092.0081
294,1623939000000,2371.1,2373.4,2369.0,2373.1,6856864.3568
295,1623939300000,2373.1,2383.3,2373.1,2382.7,12665343.9738
296,1623939600000,2382.7,2383.3,2378.0,2380.6,6063452.4529
297,1623939900000,2380.6,2404.3,2380.6,2400.9,21528844.5706
298,1623940200000,2400.7,2412.0,2400.3,2404.4,18992708.2139
299,1623940500000,2404.4,2408.5,2402.3,2402.6,3795338.753
300,1623940800000,2402.6,2403.2,2389.6,2393.6,7018692.8266
301,1623941100000,2393.6,2398.0,2388.3,2390.4,8047566.858
302,1623941400000,2390.4,2400.9,2390.0,2398.6,7203580.0454
303,1623941700000,2398.5,2399.9,2393.9,2398.7,4733041.701
304,1623942000000,2398.7,2406.8,2398.2,2400.9,4808321.0183
305,1623942300000,2400.9,2401.9,2394.6,2396.0,5268800.3437
306,1623942600000,2396.0,2399.4,2391.5,2399.4,3925011.2977
307,1623942900000,2399.4,2399.8,2393.0,2395.7,3181916.805
308,1623943200000,2395.7,2397.7,2393.5,2396.3,2145098.0912
309,1623943500000,2396.3,2400.5,2396.3,2397.8,1819299.2875
310,1623943800000,2397.8,2410.3,2397.8,2408.2,4748330.5482
311,1623944100000,2408.2,2408.5,2401.2,2407.4,4254026.4123
312,1623944400000,2407.4,2408.9,2403.1,2403.3,2569888.7161
313,1623944700000,2403.3,2412.1,2403.3,2411.6,7227907.5903
314,1623945000000,2411.6,2421.0,2410.2,2415.4,13869242.8821
315,1623945300000,2415.4,2417.6,2414.2,2416.4,7298248.2761
316,1623945600000,2416.4,2424.7,2404.9,2406.3,12786578.4082
317,1623945900000,2406.3,2408.5,2398.0,2402.8,14150593.129
318,1623946200000,2402.8,2405.0,2400.0,2400.0,2787811.5946
319,1623946500000,2400.0,2400.0,2380.1,2383.6,16971875.2052
320,1623946800000,2383.6,2385.3,2370.0,2383.9,9929496.8819
321,1623947100000,2383.9,2385.0,2374.0,2377.2,5895541.5101
322,1623947400000,2377.2,2380.0,2369.5,2379.8,4963787.4581
323,1623947700000,2379.8,2381.6,2375.0,2375.0,3814397.1286
324,1623948000000,2375.0,2376.9,2364.9,2367.3,11141990.0487
325,1623948300000,2367.3,2369.2,2358.3,2364.9,5900561.9509
326,1623948600000,2364.9,2367.5,2353.4,2359.8,8014215.5902
327,1623948900000,2359.8,2365.5,2353.5,2362.0,7387072.7274
328,1623949200000,2362.0,2367.0,2352.7,2358.9,6796179.8829
329,1623949500000,2358.9,2360.0,2352.7,2358.1,5708077.1515
330,1623949800000,2358.1,2358.1,2333.1,2338.9,20630579.8332
331,1623950100000,2338.9,2342.0,2327.5,2330.7,12989927.1872
332,1623950400000,2330.7,2330.7,2314.5,2325.8,22048335.8243
333,1623950700000,2325.8,2325.8,2309.3,2313.9,18091058.7642
334,1623951000000,2313.9,2326.6,2303.7,2325.4,20923377.1824
335,1623951300000,2325.4,2330.0,2314.1,2316.0,20320180.5628
336,1623951600000,2316.0,2325.0,2314.1,2324.7,22711938.9121
337,1623951900000,2324.7,2326.8,2320.6,2324.9,3248104.495
338,1623952200000,2324.9,2325.3,2314.0,2318.4,8444787.1571
339,1623952500000,2318.4,2318.5,2309.0,2311.4,6506417.096
340,1623952800000,2311.4,2326.2,2307.0,2324.4,14930788.9924
341,1623953100000,2324.3,2324.9,2309.1,2315.4,4532867.1979
342,1623953400000,2315.4,2321.0,2310.5,2319.4,3835231.3801
343,1623953700000,2319.4,2321.7,2313.1,2319.9,3318099.0435
344,1623954000000,2319.9,2319.9,2313.8,2318.8,3432687.88
345,1623954300000,2318.8,2321.3,2316.0,2319.6,2834096.8691
346,1623954600000,2319.6,2327.8,2308.1,2326.5,7645417.8018
347,1623954900000,2326.5,2334.0,2323.3,2325.9,10786470.8679
348,1623955200000,2325.9,2330.8,2324.0,2329.3,5988492.3412
349,1623955500000,2329.3,2337.2,2326.1,2336.4,5031988.645
350,1623955800000,2336.4,2336.4,2326.7,2328.2,3131072.3337
351,1623956100000,2328.2,2330.3,2325.3,2328.5,3428488.6427
352,1623956400000,2328.5,2329.7,2322.8,2328.5,4753980.3366
353,1623956700000,2328.5,2333.6,2326.1,2327.9,1971513.9964
354,1623957000000,2327.9,2333.6,2326.7,2330.8,2809774.4309
355,1623957300000,2330.8,2330.8,2325.3,2327.3,2704051.6073
356,1623957600000,2327.3,2337.8,2327.3,2336.0,2234632.1046
357,1623957900000,2336.0,2338.4,2333.6,2335.7,3636906.9801
358,1623958200000,2335.7,2341.9,2335.1,2337.3,4774991.3173
359,1623958500000,2337.3,2350.0,2337.0,2347.5,9449467.1845
360,1623958800000,2347.5,2348.9,2341.6,2343.2,4022451.7459
361,1623959100000,2343.2,2344.7,2337.1,2337.9,2792157.7053
362,1623959400000,2337.9,2340.0,2333.8,2334.6,2578543.7139
363,1623959700000,2334.6,2340.4,2333.8,2337.8,2071074.1524
364,1623960000000,2337.8,2338.1,2318.5,2328.9,12760076.4578
365,1623960300000,2328.7,2342.2,2325.1,2340.9,9120877.5892
366,1623960600000,2340.9,2354.5,2339.1,2352.2,16814273.8146
367,1623960900000,2352.2,2352.2,2341.4,2343.5,4384025.3315
368,1623961200000,2343.5,2343.5,2334.3,2339.6,3437592.9162
369,1623961500000,2339.6,2346.8,2337.9,2345.5,3957971.0703
370,1623961800000,2345.5,2345.8,2333.7,2338.0,5178149.1353
371,1623962100000,2338.0,2338.0,2333.0,2334.4,3955376.4131
372,1623962400000,2334.4,2342.3,2334.0,2341.7,2086555.4375
373,1623962700000,2341.7,2348.7,2339.7,2345.3,2845067.0341
374,1623963000000,2345.3,2345.4,2337.9,2338.3,4128293.1786
375,1623963300000,2338.3,2342.3,2338.1,2342.3,1184145.5731
376,1623963600000,2342.3,2342.3,2337.0,2338.3,2713648.3546
377,1623963900000,2338.3,2338.3,2332.5,2336.0,2791640.1754
378,1623964200000,2336.0,2336.0,2331.2,2332.9,1798242.6725
379,1623964500000,2332.8,2333.4,2331.1,2331.8,1651346.3884
380,1623964800000,2331.8,2338.3,2331.3,2338.0,1834751.9053
381,1623965100000,2338.0,2342.0,2337.0,2340.0,1164916.1166
382,1623965400000,2340.0,2340.1,2335.2,2335.7,1696726.3741
383,1623965700000,2335.7,2336.3,2334.4,2335.1,1014167.3738
384,1623966000000,2335.1,2343.0,2335.1,2343.0,1508480.8685
385,1623966300000,2343.0,2345.6,2342.1,2345.6,2452954.3367
386,1623966600000,2345.6,2346.9,2342.6,2346.8,2150078.9974
387,1623966900000,2346.8,2347.7,2344.4,2345.5,2760609.6901
388,1623967200000,2345.5,2345.5,2339.0,2341.7,3757619.4009
389,1623967500000,2341.7,2341.7,2335.5,2338.9,2037797.8911
390,1623967800000,2338.9,2340.8,2334.4,2337.5,2563557.0699
391,1623968100000,2337.5,2345.7,2336.8,2344.3,3040791.2457
392,1623968400000,2344.3,2344.7,2334.2,2336.8,1975853.4696
393,1623968700000,2336.8,2346.1,2336.8,2345.4,2911853.637
394,1623969000000,2345.4,2345.9,2336.4,2337.6,4324356.0991
395,1623969300000,2337.6,2338.9,2331.6,2331.8,3121540.6459
396,1623969600000,2331.8,2343.5,2330.3,2341.5,3463313.8737
397,1623969900000,2341.5,2346.7,2337.9,2345.8,4992748.614
398,1623970200000,2345.8,2349.0,2343.6,2345.4,3975966.4202
399,1623970500000,2345.4,2360.0,2344.5,2358.7,8426622.4329
400,1623970800000,2358.7,2370.0,2352.8,2366.2,9468817.131
